Input file,size,comparisions,execution time in milliseconds
input.txt,15000,56345898,3959.438086
input1.txt,30000,225149140,17163.99527
input2.txt,60000,896656287,122919.7364
input3.txt,120000,3598851872,565843.0383
input4.txt,240000,14423089998,4112268.754
inputsorted.txt,15000,14999,2.006053925
inputsorted1.txt,30000,59999,8.871793747
inputsorted2.txt,60000,29999,16.33954048
inputsorted3.txt,120000,119999,34.9407196
inputsorted4.txt,240000,239999,40.15278816
inputrsorted.txt,15000,112507370,16976.64165
inputrsorted1.txt,30000,450014578,84584.13863
inputrsorted2.txt,60000,1800028254,379470.593
inputrsorted3.txt,120000,7200052772,1607873.749
inputrsorted4.txt,240000,28800091195,4625739.97
inputc.txt,15000,14999,1.963376999
inputc1.txt,30000,29999,6.103515625
inputc2.txt,60000,59999,13.01813126
inputc3.txt,120000,119999,15.63239098
inputc4.txt,240000,239999,18.70322227
